组室,负责人,指标,已完成数,差额
管钳二工位,,7,0,0
电工二工位,,7,0,0
内装二工位,,7,0,0
管钳一工位,,7,0,0
电工一工位,,7,0,0
内装一工位,,7,0,0
管钳三工位,,7,0,0
电工三工位,,8,0,0
内装三工位,,7,0,0
电工五工位,,10,0,0
粘接二工位,,10,0,0
粘接一工位,,7,0,0
设备工位,,7,0,0
业联工位,,7,0,0
辅助工位,,7,0,0
电工四工位,,7,0,0
内装四工位,,7,0,0
车门工位,,7,0,0
